Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Product description,Product tax class,Product categories,Requires shipping,Variant price,Main variant image,More variant images,Option1 name,Option1 value
Gripper Coin (Set of Four),gripper-coin-set-of-four,5e8459b75b62342d4d979c17,5e845b011366ebe36e9f27bf,Wed Apr 01 2020 09:12:33 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:38:30 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 10:53:26 GMT+0000 (Coordinated Universal Time),"Have you ever thought of getting into coin magic but were put off by all the hard coin sleights that comes with it? Well, we have now solved that problem. Introducing the Gripper Coins. The Gripper Coins are a special, handmade coin that has a space-age silicone band embedded into the edge of the coin which prevents it from slipping in just about any palming position you decide to use. For the beginner coin workers, the Gripper Coins will enhance your learning process immensely when you are practicing your various palming moves. And for the seasoned professionals, the Gripper Coins will give you that sure-locking feel in any of your desired coin palms. The Gripper Coin comes in 6 different denominations, the U.S. quarter, the U.S. half dollar, the Euro 50 cent piece, the British 10 pence, the U.S. Eisenhower and the English penny.",standard-taxable,Coin Magic,,$74.95,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b0110db4f167e6b8be9_5e6d6256148907fb60c7e706_rpr-gripper-coin-set-british-ten-pence-full-2.png,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b0110db4f14e06b8bea_5e6d629c75d1aedb169d8f32_rpr-gripper-coin-set-british-ten-pence-full.png,Currency,British 10 Pence
Gripper Coin (Set of Four),gripper-coin-set-of-four-2,5e8459b75b62342d4d979c17,5e845b04cade00c0324d6b1d,Wed Apr 01 2020 09:12:36 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:38:32 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 10:53:26 GMT+0000 (Coordinated Universal Time),"Have you ever thought of getting into coin magic but were put off by all the hard coin sleights that comes with it? Well, we have now solved that problem. Introducing the Gripper Coins. The Gripper Coins are a special, handmade coin that has a space-age silicone band embedded into the edge of the coin which prevents it from slipping in just about any palming position you decide to use. For the beginner coin workers, the Gripper Coins will enhance your learning process immensely when you are practicing your various palming moves. And for the seasoned professionals, the Gripper Coins will give you that sure-locking feel in any of your desired coin palms. The Gripper Coin comes in 6 different denominations, the U.S. quarter, the U.S. half dollar, the Euro 50 cent piece, the British 10 pence, the U.S. Eisenhower and the English penny.",standard-taxable,Coin Magic,,$99.95,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b04428d2e271f306eec_5e6d563475d1ae74979d41ef_rpr-gripper-coin-set-english-penny.png,,Currency,English Penny
Gripper Coin (Set of Four),gripper-coin-set-of-four-3,5e8459b75b62342d4d979c17,5e845b06cade003cf74d6b1e,Wed Apr 01 2020 09:12:38 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:38:30 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 10:53:26 GMT+0000 (Coordinated Universal Time),"Have you ever thought of getting into coin magic but were put off by all the hard coin sleights that comes with it? Well, we have now solved that problem. Introducing the Gripper Coins. The Gripper Coins are a special, handmade coin that has a space-age silicone band embedded into the edge of the coin which prevents it from slipping in just about any palming position you decide to use. For the beginner coin workers, the Gripper Coins will enhance your learning process immensely when you are practicing your various palming moves. And for the seasoned professionals, the Gripper Coins will give you that sure-locking feel in any of your desired coin palms. The Gripper Coin comes in 6 different denominations, the U.S. quarter, the U.S. half dollar, the Euro 50 cent piece, the British 10 pence, the U.S. Eisenhower and the English penny.",standard-taxable,Coin Magic,,$99.95,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b06428d2e941a306efa_5e6d6233e64d7d5f2ad11126_rpr-gripper-coin-set-euro-fifty-cent-full-2.png,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b06428d2e691b306ef9_5e6d623dc882353924dae253_rpr-gripper-coin-set-euro-fifty-cent-full.png,Currency,Euro 50 Cent
Gripper Coin (Set of Four),gripper-coin-set-of-four-4,5e8459b75b62342d4d979c17,5e845b062d5495664d5e066f,Wed Apr 01 2020 09:12:38 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:38:28 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 10:53:26 GMT+0000 (Coordinated Universal Time),"Have you ever thought of getting into coin magic but were put off by all the hard coin sleights that comes with it? Well, we have now solved that problem. Introducing the Gripper Coins. The Gripper Coins are a special, handmade coin that has a space-age silicone band embedded into the edge of the coin which prevents it from slipping in just about any palming position you decide to use. For the beginner coin workers, the Gripper Coins will enhance your learning process immensely when you are practicing your various palming moves. And for the seasoned professionals, the Gripper Coins will give you that sure-locking feel in any of your desired coin palms. The Gripper Coin comes in 6 different denominations, the U.S. quarter, the U.S. half dollar, the Euro 50 cent piece, the British 10 pence, the U.S. Eisenhower and the English penny.",standard-taxable,Coin Magic,,$109.95,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b065b6234327897a0de_5e6d5576e64d7d9576d0bb3a_rpr-gripper-coin-set-us-eisenhower.png,,Currency,US Eisenhower
Gripper Coin (Set of Four),gripper-coin-set-of-four-5,5e8459b75b62342d4d979c17,5e845b072d5495193c5e0670,Wed Apr 01 2020 09:12:39 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:38:29 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 10:53:26 GMT+0000 (Coordinated Universal Time),"Have you ever thought of getting into coin magic but were put off by all the hard coin sleights that comes with it? Well, we have now solved that problem. Introducing the Gripper Coins. The Gripper Coins are a special, handmade coin that has a space-age silicone band embedded into the edge of the coin which prevents it from slipping in just about any palming position you decide to use. For the beginner coin workers, the Gripper Coins will enhance your learning process immensely when you are practicing your various palming moves. And for the seasoned professionals, the Gripper Coins will give you that sure-locking feel in any of your desired coin palms. The Gripper Coin comes in 6 different denominations, the U.S. quarter, the U.S. half dollar, the Euro 50 cent piece, the British 10 pence, the U.S. Eisenhower and the English penny.",standard-taxable,Coin Magic,,$99.95,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b075b6234364c97a0e1_5e6d54b7c88235de6dda7916_rpr-gripper-coin-set-us-half-dollar.jpeg,,Currency,US Half Dollar
Gripper Coin (Set of Four),gripper-coin-set-of-four-6,5e8459b75b62342d4d979c17,5e845b07ffbe60c72a832256,Wed Apr 01 2020 09:12:39 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:38:32 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 10:53:26 GMT+0000 (Coordinated Universal Time),"Have you ever thought of getting into coin magic but were put off by all the hard coin sleights that comes with it? Well, we have now solved that problem. Introducing the Gripper Coins. The Gripper Coins are a special, handmade coin that has a space-age silicone band embedded into the edge of the coin which prevents it from slipping in just about any palming position you decide to use. For the beginner coin workers, the Gripper Coins will enhance your learning process immensely when you are practicing your various palming moves. And for the seasoned professionals, the Gripper Coins will give you that sure-locking feel in any of your desired coin palms. The Gripper Coin comes in 6 different denominations, the U.S. quarter, the U.S. half dollar, the Euro 50 cent piece, the British 10 pence, the U.S. Eisenhower and the English penny.",standard-taxable,Coin Magic,,$74.95,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b070eaddef4f3a01f31_5e6d61ade64d7d3c0dd10f80_rpr-gripper-coin-set-us-quarter-full-2.png,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b070eadde37daa01f32_5e6d61880f8bc3c936b129e2_rpr-gripper-coin-set-us-quarter-full.png,Currency,US Quarter
Gripper Coin (Single),gripper-coin-single,5e8459b75b62342d4d979c17,5e845b08ffbe6014a9832257,Wed Apr 01 2020 09:12:40 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:38:31 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 10:53:26 GMT+0000 (Coordinated Universal Time),"Have you ever thought of getting into coin magic but were put off by all the hard coin sleights that comes with it? Well, we have now solved that problem. Introducing the Gripper Coins. The Gripper Coins are a special, handmade coin that has a space-age silicone band embedded into the edge of the coin which prevents it from slipping in just about any palming position you decide to use. For the beginner coin workers, the Gripper Coins will enhance your learning process immensely when you are practicing your various palming moves. And for the seasoned professionals, the Gripper Coins will give you that sure-locking feel in any of your desired coin palms. The Gripper Coin comes in 6 different denominations, the U.S. quarter, the U.S. half dollar, the Euro 50 cent piece, the British 10 pence, the U.S. Eisenhower and the English penny.",standard-taxable,Coin Magic,,$24.95,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b080eadde117da01f35_5e6d58c2a2ae9712c52800d4_rpr-gripper-coin-single-ten-pence.png,,Currency,British Ten Pence
Gripper Coin (Single),gripper-coin-single-2,5e8459b75b62342d4d979c17,5e845b083e5edb6111268c82,Wed Apr 01 2020 09:12:40 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:38:29 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 10:53:26 GMT+0000 (Coordinated Universal Time),"Have you ever thought of getting into coin magic but were put off by all the hard coin sleights that comes with it? Well, we have now solved that problem. Introducing the Gripper Coins. The Gripper Coins are a special, handmade coin that has a space-age silicone band embedded into the edge of the coin which prevents it from slipping in just about any palming position you decide to use. For the beginner coin workers, the Gripper Coins will enhance your learning process immensely when you are practicing your various palming moves. And for the seasoned professionals, the Gripper Coins will give you that sure-locking feel in any of your desired coin palms. The Gripper Coin comes in 6 different denominations, the U.S. quarter, the U.S. half dollar, the Euro 50 cent piece, the British 10 pence, the U.S. Eisenhower and the English penny.",standard-taxable,Coin Magic,,$29.95,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b08296ec161c7abf5db_5e6d6442c88235735fdaeb46_rpr-gripper-coin-single-english-penny-full.png,,Currency,English Penny
Gripper Coin (Single),gripper-coin-single-3,5e8459b75b62342d4d979c17,5e845b099755803d53db63c7,Wed Apr 01 2020 09:12:41 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:38:31 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 10:53:26 GMT+0000 (Coordinated Universal Time),"Have you ever thought of getting into coin magic but were put off by all the hard coin sleights that comes with it? Well, we have now solved that problem. Introducing the Gripper Coins. The Gripper Coins are a special, handmade coin that has a space-age silicone band embedded into the edge of the coin which prevents it from slipping in just about any palming position you decide to use. For the beginner coin workers, the Gripper Coins will enhance your learning process immensely when you are practicing your various palming moves. And for the seasoned professionals, the Gripper Coins will give you that sure-locking feel in any of your desired coin palms. The Gripper Coin comes in 6 different denominations, the U.S. quarter, the U.S. half dollar, the Euro 50 cent piece, the British 10 pence, the U.S. Eisenhower and the English penny.",standard-taxable,Coin Magic,,$29.95,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b09622e7a1dcbd36597_5e6d5860e64d7d3951d0ce82_rpr-gripper-coin-single-euro.png,,Currency,Euro Fifty Cent
Gripper Coin (Single),gripper-coin-single-4,5e8459b75b62342d4d979c17,5e845b0af20a58333a394c3a,Wed Apr 01 2020 09:12:42 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:38:29 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 10:53:26 GMT+0000 (Coordinated Universal Time),"Have you ever thought of getting into coin magic but were put off by all the hard coin sleights that comes with it? Well, we have now solved that problem. Introducing the Gripper Coins. The Gripper Coins are a special, handmade coin that has a space-age silicone band embedded into the edge of the coin which prevents it from slipping in just about any palming position you decide to use. For the beginner coin workers, the Gripper Coins will enhance your learning process immensely when you are practicing your various palming moves. And for the seasoned professionals, the Gripper Coins will give you that sure-locking feel in any of your desired coin palms. The Gripper Coin comes in 6 different denominations, the U.S. quarter, the U.S. half dollar, the Euro 50 cent piece, the British 10 pence, the U.S. Eisenhower and the English penny.",standard-taxable,Coin Magic,,$34.95,https://uploads-ssl.webflow.com/5e6c306339a73b548db5c522/5e845b093fb6cff6faf2d7a8_5e6d641ac8823502a5daea6b_rpr-gripper-coin-single-us-eisenhower-full.png,,Currency,US Eisenhower
